genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode
21st century classical,0.983,0.2185,149613.0,0.018349999999999998,0.8740000000000001,0.11279999999999998,-37.256,0.03875000000000001,69.5265,0.0629,40.5,1,1
432hz,0.48507,0.33,1059273.25,0.46308375,0.4803925,0.1188625,-17.099,0.0862875,125.227125,0.217675,52.125,6,1
[],0.6863952690777669,0.5168302100498914,230539.73062912287,0.39749060736665986,0.2028825096317088,0.2213235015235606,-12.773475360910176,0.10987131758775522,111.93322430898694,0.5139053045731292,21.556669070163622,7,1
a cappella,0.6660363114336644,0.5767321746880572,196143.85179526356,0.33453539343009936,0.028485812539470332,0.12829155844155846,-13.011176725235549,0.10678156353450471,112.46110784313727,0.5025207282913166,38.786414565826334,11,1
abstract,0.35239499999999996,0.4891000000000001,342977.1666666666,0.5093000000000001,0.7880333333333334,0.12231666666666667,-13.812100000000001,0.044156666666666664,124.17649999999999,0.35413,41.6,1,1
abstract beats,0.43010000000000004,0.628875,221360.875,0.519,0.3473766325,0.11548749999999999,-8.423375,0.112275,109.604,0.48240000000000005,57.5,7,1
abstract hip hop,0.2066364705882353,0.7160764705882353,244640.29411764705,0.6635058823529413,0.002321906705882353,0.1579129411764706,-7.333941176470588,0.25867235294117646,115.57978823529412,0.6103117647058823,43.60588235294117,11,1
abstract idm,0.959,0.0929,277223.0,0.0217,0.818,0.112,-35.311,0.0401,166.18900000000005,0.0405,56.0,3,1
accordeon,0.613,0.5166666666666667,164386.66666666666,0.301,0.3543333333333334,0.17376666666666665,-11.209666666666665,0.03473333333333333,142.42600000000002,0.6093333333333334,29.333333333333332,9,1
accordion,0.457,0.6051249999999999,167024.125,0.419125,0.08348928750000001,0.1842625,-12.979125,0.0687875,116.140875,0.6385000000000001,23.75,7,1
acid house,0.07396176923076923,0.6792076923076922,267121.7076923077,0.7302492307692307,0.29241141615384625,0.2046576923076923,-10.634853846153845,0.05753230769230769,125.00136153846155,0.6263692307692307,45.353846153846156,11,0
acid jazz,0.09502333333333335,0.6819166666666666,300990.8333333333,0.6609166666666667,0.2323705,0.11722500000000001,-11.38975,0.06751666666666667,104.14358333333332,0.6885833333333333,38.166666666666664,7,1
acid rock,0.2230888497832388,0.45215253887681406,251770.18258630394,0.6015584373294888,0.17174126895784272,0.23744795820243061,-11.275037217623609,0.07505855353648246,128.22814567291036,0.5458476761078228,34.10125318444232,9,1
acid trance,0.0035355,0.5569999999999999,216060.0,0.925,0.7765,0.152,-7.128,0.04235,134.8435,0.6395,56.0,2,1
acousmatic,0.9201687012263099,0.41590741360089184,170696.54548494983,0.25182519175027873,0.5984001278651059,0.2631755490523969,-20.787561677814935,0.08719903288740245,105.54950677257526,0.30445079152731336,7.513322185061315,5,1
acoustic blues,0.7592535430731119,0.6059519953980974,202995.46557243296,0.35643339625206666,0.09829634307958147,0.18213478620613216,-12.761076929660307,0.0681522032575927,113.6411769981451,0.6331138975365491,22.199090962996504,7,1
acoustic pop,0.4764915193006749,0.5330136646370993,236928.23490852717,0.4889270263662144,0.043552277387913944,0.1568156547325558,-9.035846763458911,0.04032400439936739,116.6117100842516,0.3992053091379088,52.08179964356822,11,1
acoustic punk,0.3631058100386101,0.5265891891891892,193427.7415057915,0.6141382239382239,0.06794403940926641,0.17122577220077223,-8.158030694980695,0.06718745173745173,120.01366563706563,0.7498281853281854,39.044980694980694,2,1
adoracion,0.3611111111111111,0.49161111111111105,303676.55555555556,0.5253611111111112,0.0,0.3066055555555555,-7.736083333333333,0.037108333333333327,131.07466666666667,0.28911111111111115,47.97222222222223,2,1
adult standards,0.6421493610568239,0.4991840629342109,198697.8326858136,0.39126157882397594,0.1138228664737188,0.1928368971717893,-12.12055395459172,0.053519639320521735,113.66565937479193,0.5013299927341625,30.864319469277046,7,1
adventista,0.6835456521739129,0.5510217391304348,217873.63043478262,0.36730434782608695,5.7556521739130455e-06,0.15083913043478264,-9.382195652173912,0.02875434782608696,113.43469565217393,0.5123913043478261,28.543478260869566,6,1
afghan pop,0.45039999999999997,0.6968333333333333,301078.0833333333,0.6721666666666666,0.0014728504166666666,0.09867083333333332,-7.560708333333333,0.0802,113.18816666666665,0.8082916666666667,38.625,7,1
afghan traditional,0.996,0.621,181905.0,0.111,0.277,0.227,-11.054,0.359,73.166,0.755,0.0,2,0
african gospel,0.77,0.605,534036.0,0.602,0.0007610000000000001,0.083,-6.726,0.0413,129.305,0.903,32.0,4,1
african percussion,0.3421875000000001,0.5778125,293064.3125,0.7656874999999999,0.27670179250000004,0.1270375,-8.1144375,0.08570625,134.01625,0.458,12.5,0,0
african reggae,0.1767142857142857,0.7560357142857143,251420.89285714284,0.6028928571428571,0.007475856428571429,0.13283571428571428,-7.684107142857142,0.06421428571428571,125.34496428571427,0.6877142857142857,48.17857142857143,11,1
african rock,0.14440116875,0.6872708333333334,254124.10416666666,0.6880625,0.04695580625000001,0.19143541666666666,-7.045583333333333,0.0667375,119.02422916666666,0.5744166666666667,43.5,6,1
afro dancehall,0.07983349999999999,0.7295,196970.525,0.7671625,0.000964152875,0.2255125,-5.3736999999999995,0.12663000000000002,113.14802499999999,0.5835874999999999,71.6125,7,1
afro house,0.19974999999999998,0.6675,235788.5,0.5965,0.195746,0.11149999999999999,-8.674,0.1682,132.147,0.673,52.75,5,1
afro psych,0.18839999999999998,0.48666666666666664,347037.0,0.7633333333333333,0.33863333333333334,0.15933333333333333,-10.909,0.05223333333333333,131.32333333333335,0.8136666666666668,28.666666666666668,2,1
afro-funk,0.20119090909090911,0.7777727272727273,317573.09090909094,0.744909090909091,0.1117405181818182,0.11939090909090908,-8.471272727272726,0.08509090909090908,111.84831818181819,0.8515454545454546,31.5,0,1
afrobeat,0.3174583589975948,0.6306041898777365,318072.9536116626,0.629432977795097,0.30224816638259905,0.1623557261276586,-9.736935965045,0.060551853780000324,119.33538286890082,0.693894467050533,39.111979324287816,0,1
afrobeat brasileiro,0.9,0.621,161373.0,0.758,0.00216,0.121,-9.981,0.106,87.435,0.695,14.0,6,0
afrofuturism,0.24702886774035152,0.6496308286882201,301328.8791028295,0.583403967192228,0.1099792152824866,0.18909038243881723,-9.524873355099006,0.14885158525773742,112.12988441949352,0.49246480517067465,45.61080002123481,5,1
afrofuturismo brasileiro,0.626,0.484,247120.0,0.81,0.000283,0.11,-4.579,0.0377,144.454,0.422,36.0,7,0
afropop,0.44700958678445246,0.6155563685322614,328800.55914710974,0.5351318485701492,0.14164379718694603,0.16259506127424844,-11.376333710388543,0.0610650946525423,114.50894886994509,0.6404815090560779,45.14623797794981,7,1
aggrotech,3.28e-06,0.4920000000000001,285667.0,0.947,0.7559999999999999,0.319,-5.97,0.0433,120.036,0.212,45.0,1,1
alabama indie,0.3366683365384615,0.5043846153846154,239249.0576923077,0.553625,0.05592245576923077,0.12549038461538464,-9.71264423076923,0.04021153846153846,104.19947115384616,0.46128846153846154,46.94230769230769,7,1
alabama metal,0.0021360000000000003,0.4350000000000001,190191.0,0.88,7.366666666666667e-07,0.15406666666666666,-3.451,0.060966666666666676,110.25966666666666,0.4653333333333333,45.66666666666666,6,1
alabama rap,0.14970111432506886,0.697393021120294,219283.94283746555,0.623063934802571,0.0004509469972451791,0.15714406565656566,-6.6805082644628095,0.2225500344352617,121.34809366391183,0.43807605601469246,51.6059458218549,11,1
albanian pop,0.00287,0.6829999999999999,187106.0,0.665,0.0,0.0839,-8.405,0.0499,127.968,0.667,40.0,8,0
alberta country,0.19789679166666665,0.594771875,206473.43541666667,0.7629729166666668,0.0013267004583333332,0.16819958333333335,-6.1358291666666664,0.05023666666666667,120.16771458333332,0.6376000000000001,51.87708333333333,11,1
album rock,0.19264888199088018,0.5126924554645601,266160.9387486693,0.6593102292008498,0.07705196328423207,0.21744295511704334,-9.922660089617748,0.057036987692099674,123.94811597365478,0.548897135460236,37.88577036175156,9,1
albuquerque indie,0.36337494252873564,0.5580488505747127,225693.0632183908,0.591566091954023,0.020584468505747123,0.18265143678160922,-8.516543103448276,0.033681034482758616,126.63680172413792,0.6046666666666667,50.497126436781606,9,1
alt-idol,0.000273,0.616,230613.0,0.985,0.000145,0.111,-1.598,0.0832,109.979,0.487,53.0,11,1
alternative americana,0.3503385185185185,0.5025956790123458,233908.75925925927,0.5123981481481481,0.23343665629629629,0.172587037037037,-9.576817901234568,0.047043518518518526,121.84275308641973,0.4511820987654321,48.71604938271605,11,1
