,year,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode
0,1921,0.8958234375000002,0.4256609375000002,229911.9140625,0.23678359375000002,0.32233011023437486,0.2158140625,-17.095437500000003,0.0772578125,100.39775781249999,0.42549453125,0.484375,7,1
1,1922,0.9392361111111113,0.4799999999999998,167904.54166666666,0.23702624999999988,0.44046994097222236,0.23864722222222223,-19.17995833333333,0.11541944444444446,101.37613888888889,0.5340555555555555,0.1388888888888889,10,1
2,1923,0.9763289408284024,0.5684615384615381,178356.30177514793,0.24693609467455616,0.40193248236686396,0.2366556213017751,-14.37388165680474,0.09861893491124261,112.45659763313613,0.6247875739644974,6.047337278106509,0,1
3,1924,0.9353693516949166,0.5494025423728814,184891.5127118644,0.34811822033898276,0.5828104348305084,0.23855635593220326,-14.156724576271191,0.09035593220338983,120.86008474576262,0.6709788135593225,0.673728813559322,10,1
4,1925,0.9654220532319411,0.5718897338403041,184130.69961977185,0.2643726235741444,0.4088934084410645,0.2430935361216729,-14.516707224334597,0.11545741444866925,115.67171482889731,0.6164304182509505,2.859315589353612,5,1
5,1926,0.9489068446601975,0.5160638002773934,190687.15533980582,0.23077443828016636,0.6179480839667127,0.19828973647711529,-16.544270457697642,0.09459791955617193,105.93759778085983,0.5258885020804439,1.9972260748959778,5,1
6,1927,0.9360540646386584,0.6495411764705877,185235.98991596638,0.255752268907563,0.402609020369748,0.16790235294117634,-14.725729411764705,0.11623142857142865,114.58566386554602,0.6615862184873953,0.865546218487395,7,1
7,1928,0.9461880059171593,0.5296956889264579,217498.31191885038,0.2071427472527472,0.5169790110481828,0.17798833474218093,-17.316192730346575,0.1353132713440406,106.19524598478446,0.49295359256128496,1.5849535080304311,1,1
8,1929,0.9662645290581189,0.6079693386773551,196991.9519038076,0.23461002004008047,0.4063771634669342,0.17988236472945862,-13.915070140280555,0.11200240480961926,115.7791402805611,0.6337412825651298,0.5951903807615231,7,1
9,1930,0.9464902320243304,0.5097469026548676,195875.0221238938,0.32612364491150475,0.3655742397787609,0.21747251106194687,-12.708090707964617,0.0779282632743363,110.18872068584069,0.6186864491150448,0.9021017699115044,2,1
10,1931,0.8758935229067947,0.5560935229067929,179379.57345971564,0.2584339699842023,0.33201110037914755,0.23911785150078996,-15.90358135860979,0.23318151658767777,108.01028120063194,0.5713129541864139,0.325434439178515,0,1
11,1932,0.9400876826722342,0.5600509394572024,193462.6847599165,0.3054784968684762,0.2264179156784971,0.23631983298538622,-13.288906054279739,0.14177640918580361,116.22583298538615,0.593601878914405,1.6367432150313153,7,1
12,1933,0.9050108604501615,0.6037663987138263,192454.038585209,0.28736061093247595,0.13055586204180056,0.21015546623794204,-12.768765273311898,0.09617057877813505,115.05368167202579,0.6351533762057878,7.120578778135048,5,1
13,1934,0.8928537501805058,0.5298339350180503,187911.9963898917,0.2599906137184115,0.27386507657039744,0.21632815884476533,-14.86393862815885,0.10440938628158843,115.9882870036101,0.5642550541516249,1.111913357400722,0,1
14,1935,0.8824314485981305,0.5215750778816197,247152.8722741433,0.2655854127725856,0.2750319730685357,0.21811323987538947,-15.08982632398755,0.23103481308411203,110.36973520249222,0.5082672897196271,1.7165109034267914,7,1
15,1936,0.7954655451950531,0.5339323501427203,247225.10941960037,0.3067414559467176,0.30046378882968594,0.22539314938154123,-13.76873739295906,0.2153577545195051,110.02249666983825,0.5531392007611794,5.1893434823977165,10,1
16,1937,0.8996308724832218,0.5568880872483218,205470.5755033557,0.2869961912751673,0.33573397872483235,0.21799093959731541,-13.42102013422818,0.08646677852348988,114.59116946308723,0.5945649328859054,3.62248322147651,7,1
17,1938,0.9161265270833349,0.48698177083333366,244455.01909722222,0.2836270833333335,0.36412720875000004,0.2345378472222221,-14.30434895833333,0.09839027777777791,112.17112326388889,0.5216277951388887,2.1215277777777777,0,1
18,1939,0.8825946686686691,0.5131849849849847,215237.3973973974,0.2956723723723727,0.2653657219019024,0.23467407407407415,-13.825305305305308,0.12731631631631618,114.00651151151155,0.5628939939939936,4.286286286286287,0,1
19,1940,0.9329641499999942,0.47954035000000067,199029.361,0.3606402499999994,0.3918890491999997,0.2087693500000004,-12.116773500000006,0.06934015000000003,107.26854700000004,0.6239579499999998,0.8495,7,1
20,1941,0.9096124344176308,0.476223609653726,203643.18992654776,0.25784456453305343,0.4514768625183628,0.20157166841552968,-16.015195173137446,0.09237576075550917,107.00901364113325,0.4800691500524653,1.2896117523609654,7,1
21,1942,0.8509669969660156,0.4658696601941747,221947.5764563107,0.25738317354368967,0.39018133836165,0.2133296116504851,-15.029573422330111,0.0826593446601941,106.2021777912622,0.47375709951456435,0.9538834951456311,7,1
22,1943,0.9154872440944907,0.4675859842519682,216971.7275590551,0.2751731181102363,0.3951723255275592,0.23548692913385835,-13.591190551181107,0.11292929133858268,106.3870629921261,0.5165042519685038,1.2519685039370079,5,1
23,1944,0.8934426405475897,0.5075674054758805,246997.67275097783,0.2614877053455019,0.4382095411864402,0.23632281616688383,-14.468799217731418,0.17215619295958276,107.25252803129074,0.5489366362451107,2.7001303780964796,10,1
24,1945,0.9005422422222208,0.4561406111111117,226552.26777777777,0.24304671777777787,0.4004245878611109,0.21034577777777758,-16.019228333333327,0.09557777777777776,106.7262338888888,0.461859888888889,2.058333333333333,7,1
25,1946,0.9241929740518942,0.40327298735861583,262683.119760479,0.20412964737192268,0.49537495023286615,0.20791317365269468,-17.715263473053906,0.08805741849634087,102.6687864271456,0.37346979374584205,1.7511643379906854,7,1
26,1947,0.9153985351488249,0.47239860671310974,232983.2514249525,0.2589109309689678,0.34469710206459797,0.22069284357188082,-14.593786573780896,0.10091038632045597,109.272360987967,0.5061452818239397,1.1703609879670678,0,1
27,1948,0.9336757677902573,0.43991647940074957,207535.74264312466,0.24795665864098487,0.39111433688603553,0.2215770465489562,-15.503331728196876,0.08644018191546277,107.40021722846427,0.4437912252541468,1.6896736222578919,0,1
28,1949,0.908245694999996,0.44182154999999973,225391.95,0.2445630999999995,0.29357316077499934,0.20968540000000038,-15.616004499999994,0.10323699999999997,108.8844635,0.4288879000000003,3.4115,0,1
29,1950,0.8692186605999956,0.4834354000000005,227230.8585,0.3274425450000001,0.2765438099749998,0.2136882500000002,-13.369426499999985,0.08306164999999992,111.88075649999992,0.5503400500000019,2.8295,7,1
30,1951,0.9055975356499977,0.4599351000000001,214118.9925,0.24905049999999998,0.3069370815399999,0.2154895000000002,-15.977583000000037,0.10780384999999985,109.15694499999982,0.4317064499999998,2.851,0,1
31,1952,0.8628557679999966,0.46342654999999977,222733.123,0.2523529100000001,0.2806003868700001,0.22782294999999983,-16.10869400000001,0.16248969999999993,107.6592199999998,0.43940741204999956,3.0875,5,1
32,1953,0.8924524719999981,0.43488924999999956,217345.3555,0.26393438,0.29455538354500005,0.22660899999999984,-15.554933499999995,0.09425630000000006,109.40242550000005,0.42095446000000025,3.276,0,1
33,1954,0.8668165172999992,0.46266614999999944,224186.179,0.26037771499999973,0.2816370674450004,0.21749714999999986,-15.570151000000012,0.11170084999999992,108.97192649999988,0.4443600500000004,7.2585,5,1
